"hh_size","Total","Under15","15-18","18-65","Above65","Above18"
"1",712540,0,150,484530,227860,712390
"2",902870,44290,18160,738270,272340,902800
"3",404260,192530,58080,401660,47920,404250
"4",338830,255140,77860,338490,19900,338830
"5",152340,130460,44320,152260,13190,152340
"6",64220,57820,22480,64120,7930,64220
"7",23970,22270,9840,23950,3740,23970
"8",10810,10210,4630,10800,1710,10810
"9",5080,4760,2540,5080,850,5080
"10",2400,2300,1290,2400,410,2400
"11",1290,1250,810,1290,270,1290
"12",1000,930,610,990,200,1000
"13",220,200,130,220,20,220
"14",80,70,60,80,30,80
"15",80,80,60,80,30,80
"16",30,30,20,30,10,30
"17",30,20,10,30,20,30
"19",10,10,10,10,0,10
"25",10,10,10,10,0,10
