"Area","hh_size","Total","se"
"WA",1,851920,2387.25058362546
"WA",2,902870,2459.43744962523
"WA",3,404260,1853.7753419318
"WA",4,338830,1717.15329815977
"WA",5,152340,1196.38270903981
"WA",6,64220,790.55827285382
"WA",7,23970,486.873954843207
"WA",8,10810,327.920683931381
"WA",9,5080,225.066210786271
"WA",10,2400,154.802926617421
"WA",11,1290,113.539788713912
"WA",12,1000,99.9736681259821
"WA",13,220,46.9017988143273
"WA",14,80,28.2834128868049
"WA",15,80,28.2826479452756
"WA",16,30,17.3205080756898
"WA",17,30,17.3205080756889
"WA",19,10,10.000000000001
"WA",25,10,10.0000000000008
"0",1,179420,1114.03503465208
"11",1,40000,541.632033810324
"33",1,282400,1322.96057801026
"35",1,32700,474.252462513662
"53",1,93010,800.78615590988
"61",1,75970,737.553657837161
"63",1,68780,667.986427755768
"67",1,30720,464.101181387172
"73",1,27900,434.369878037204
"77",1,21020,392.261533298895
"0",2,208860,1158.99055553674
"11",2,53610,598.252570593438
"33",2,260800,1334.48494863687
"35",2,36130,487.552137776296
"53",2,100220,826.616818036547
"61",2,88110,775.819614663487
"63",2,65120,663.957842127439
"67",2,36770,488.412984649288
"73",2,29350,439.935295722586
"77",2,23900,413.507430294693
"0",3,79120,827.476756790506
"11",3,25460,463.050492042771
"33",3,119610,1007.25337269994
"35",3,15630,364.893641613143
"53",3,50300,650.203319498306
"61",3,45770,618.048721899876
"63",3,28100,491.295749308934
"67",3,16380,371.827526641517
"73",3,11750,318.571517803894
"77",3,12140,322.147693609209
"0",4,64270,755.87394868077
"11",4,23310,445.393250725452
"33",4,98920,925.645225872629
"35",4,12870,336.075656732552
"53",4,41500,599.659889986321
"61",4,39740,582.630486693813
"63",4,23680,456.611362930341
"67",4,12930,336.452058087544
"73",4,10150,299.254539087184
"77",4,11460,314.374733510357
"0",5,33010,557.380447080104
"11",5,11160,321.760514887598
"33",5,38490,603.227704165067
"35",5,5110,220.545001117806
"53",5,19690,429.171662580688
"61",5,17650,406.503856812563
"63",5,10090,309.522948372455
"67",5,5240,223.108697646043
"73",5,4170,199.214446818631
"77",5,7730,264.391736349073
"0",6,15580,389.056777185682
"11",6,4590,211.008574570039
"33",6,15660,391.045288350976
"35",6,1920,137.305620527425
"53",6,7960,278.346298464019
"61",6,6970,260.625560099251
"63",6,4060,199.433912055943
"67",6,1790,132.595655969754
"73",6,1800,132.762951009572
"77",6,3890,192.196510179244
"0",7,6200,247.572305948174
"11",7,1670,128.452774849908
"33",7,5680,237.205551862419
"35",7,800,89.1108024740955
"53",7,2730,164.480205034595
"61",7,2430,155.203818574305
"63",7,1230,110.574727340704
"67",7,640,79.7577771463758
"73",7,560,74.5938898566455
"77",7,2030,140.543914914807
"0",8,2670,162.99232898763
"11",8,680,82.2807332729888
"33",8,2640,162.089262812259
"35",8,350,59.067265253849
"53",8,1220,110.205402404121
"61",8,1150,107.019899242838
"63",8,700,83.5262261469277
"67",8,250,49.9443583792899
"73",8,210,45.7725330559217
"77",8,940,96.274617143141
"0",9,1100,104.755646891235
"11",9,360,59.9139154176486
"33",9,1440,119.822690316701
"35",9,190,43.5536412618504
"53",9,530,72.7304425850809
"61",9,480,69.2200410825346
"63",9,180,42.4099381892274
"67",9,130,36.0360992588691
"73",9,150,38.6983512720833
"77",9,520,71.8406749358724
"0",10,510,71.3803874367868
"11",10,330,57.3662015450365
"33",10,620,78.6839733784625
"35",10,40,19.998106032598
"53",10,230,47.9368486159967
"61",10,230,47.937563520376
"63",10,110,33.156865296069
"67",10,40,19.9976996070102
"73",10,50,22.3554880684556
"77",10,240,48.9061180565124
"0",11,350,59.1426946455755
"11",11,90,29.9840581283466
"33",11,320,56.5436119832387
"35",11,10,10.0000000000008
"53",11,140,37.4080438427718
"61",11,170,41.2222707882583
"63",11,70,26.4521656227805
"67",11,30,17.3178517597373
"73",11,10,9.99999999999948
"77",11,100,31.605997603531
"0",12,310,55.6618321688823
"11",12,90,29.986487094489
"33",12,220,46.897602319945
"35",12,10,10.0000000000008
"53",12,100,31.6186207097077
"61",12,80,28.2806991029884
"63",12,20,14.1421356237313
"67",12,10,9.99999999999896
"73",12,50,22.3554880684556
"77",12,110,33.1453960969322
"0",13,40,19.9991329792995
"11",13,10,9.99999999999965
"33",13,60,24.4938556902145
"53",13,40,19.9988974337761
"61",13,30,17.319213810184
"63",13,40,19.998834464871
"0",14,10,9.99999999999914
"11",14,20,14.1404188242578
"33",14,20,14.1421356237321
"53",14,10,10.0000000000001
"67",14,10,10.000000000002
"77",14,10,9.99999999999998
"11",15,20,14.1402249116195
"33",15,10,9.9999999999999
"53",15,10,9.99999999999883
"63",15,20,14.1407996324555
"73",15,10,9.99999999999948
"77",15,10,9.99999999999998
"0",16,10,10.0000000000008
"33",16,10,10.000000000001
"77",16,10,9.99999999999998
"0",17,10,10.0000000000015
"33",17,10,9.99999999999969
"61",17,10,9.99999999999903
"33",19,10,10.000000000001
"0",25,10,10.0000000000008
