"Area","hh_size","Total","se"
"WA",1,712540,2496.34546869637
"WA",2,1805740,3605.32451933524
"WA",3,1212780,3142.91232495
"WA",4,1355320,3271.6404917014
"WA",5,761700,2588.50535262146
"WA",6,385320,1899.54663814309
"WA",7,167790,1275.53969710983
"WA",8,86480,922.166641586279
"WA",9,45720,672.676459237849
"WA",10,24000,488.351387316738
"WA",11,14190,375.979642333591
"WA",12,12000,345.832284810898
"WA",13,2860,168.983286110725
"WA",14,1120,105.752764784437
"WA",15,1200,109.446941607543
"WA",16,480,69.2453741459284
"WA",17,510,71.36465528118
"WA",19,190,43.5570652007413
"WA",25,250,49.9424901563925
"0",1,145660,1141.17246500651
"11",1,36850,576.562728206836
"33",1,245120,1432.7220502326
"35",1,23940,464.340457534305
"53",1,74990,819.575298706842
"61",1,65650,769.325869897447
"63",1,54100,687.060179157377
"67",1,26520,485.248246429153
"73",1,22210,443.885766541414
"77",1,17500,400.772881293632
"0",2,417720,1704.37345940402
"11",2,107220,894.128306326014
"33",2,521600,1934.95882675565
"35",2,72260,712.17319626088
"53",2,200440,1217.8892426178
"61",2,176220,1149.0723049952
"63",2,130240,964.739848872538
"67",2,73540,718.353747906998
"73",2,58700,641.766203928761
"77",2,47800,616.858117140959
"0",3,237360,1404.16959941014
"11",3,76380,790.966798847635
"33",3,358830,1703.60492497774
"35",3,46890,614.93830895724
"53",3,150900,1102.74732603543
"61",3,137310,1051.27308434358
"63",3,84300,828.904757203293
"67",3,49140,627.185376989609
"73",3,35250,537.913277317763
"77",3,36420,556.000203976574
"0",4,257080,1448.30774744634
"11",4,93240,851.357597247685
"33",4,395680,1758.683130172
"35",4,51480,636.529323338318
"53",4,166000,1141.99918105521
"61",4,158960,1107.92161970921
"63",4,94720,865.824770488265
"67",4,51720,638.964898119843
"73",4,40600,567.647943615098
"77",4,45840,609.331747370815
"0",5,165050,1204.73289471915
"11",5,55800,695.213570797813
"33",5,192450,1309.22319058844
"35",5,25550,478.090414560098
"53",5,98450,926.289719741749
"61",5,88250,878.467307806357
"63",5,50450,669.739059661193
"67",5,26200,483.883431831753
"73",5,20850,431.753326424443
"77",5,38650,569.384687484475
"0",6,93480,932.461192633857
"11",6,27540,507.006069022813
"33",6,93960,941.554283874337
"35",6,11520,331.162381471975
"53",6,47760,668.759683959683
"61",6,41820,626.909161353018
"63",6,24360,480.142348079372
"67",6,10740,320.260659567567
"73",6,10800,319.493269674298
"77",6,23340,458.378973090059
"0",7,43400,647.809433167006
"11",7,11690,336.650756578661
"33",7,39760,622.141896507677
"35",7,5600,233.878402747843
"53",7,19110,431.545700249092
"61",7,17010,407.232517552006
"63",7,8610,290.643143605626
"67",7,4480,209.714065597661
"73",7,3920,196.012301987863
"77",7,14210,365.112058299332
"0",8,21360,458.270326534073
"11",8,5440,231.581188426252
"33",8,21120,455.907674844255
"35",8,2800,166.351179790165
"53",8,9760,310.116668900773
"61",8,9200,301.249084847709
"63",8,5600,235.163654109944
"67",8,2000,140.848508059664
"73",8,1680,129.063448733522
"77",8,7520,269.26617528539
"0",9,9900,313.232717511615
"11",9,3240,179.114668659334
"33",9,12960,357.963964871901
"35",9,1710,130.308685427019
"53",9,4770,217.540902186573
"61",9,4320,207.105412035931
"63",9,1620,127.035432433996
"67",9,1170,107.910006754154
"73",9,1350,115.793079292921
"77",9,4680,213.941491154369
"0",10,5100,225.307508115684
"11",10,3300,180.70100433965
"33",10,6200,248.20412672519
"35",10,400,63.1959504395778
"53",10,2300,151.324353545911
"61",10,2300,151.33974221488
"63",10,1100,104.708122106438
"67",10,400,63.1917844992966
"73",10,500,70.6225538845887
"77",10,2400,154.027333632547
"0",11,3850,195.839762478097
"11",11,990,99.2531834708944
"33",11,3520,187.175748713699
"35",11,110,33.1526345352239
"53",11,1540,123.904520463906
"61",11,1870,136.563292368367
"63",11,770,87.6313916886887
"67",11,330,57.3834053515732
"73",11,110,33.1578165924693
"77",11,1100,104.637500617383
"0",12,3720,192.497231239863
"11",12,1080,103.681606010944
"33",12,2640,162.295052363301
"35",12,120,34.6253752607973
"53",12,1200,109.425119245919
"61",12,960,97.8776412289311
"63",12,240,48.9667472283647
"67",12,120,34.6217033510329
"73",12,600,77.3434157846419
"77",12,1320,114.560076410301
"0",13,520,72.0606718836023
"11",13,130,36.034507502212
"33",13,780,88.2525272403974
"53",13,520,72.0542479544648
"61",13,390,62.3933257751964
"63",13,520,72.0477238200173
"0",14,140,37.3917409123371
"11",14,280,52.8478388299119
"33",14,280,52.8872061818481
"53",14,140,37.3935051472236
"67",14,140,37.400115056314
"77",14,140,37.3966775390868
"11",15,300,54.7002310785178
"33",15,150,38.7071797033491
"53",15,150,38.7057616431724
"63",15,300,54.7075961274706
"73",15,150,38.716048850791
"77",15,150,38.7076541471186
"0",16,160,39.9854603608042
"33",16,160,39.9755884184914
"77",16,160,39.9754566070174
"0",17,170,41.1993247988486
"33",17,170,41.2011542986438
"61",17,170,41.2067293531041
"33",19,190,43.5570652007413
"0",25,250,49.9424901563925
