"Area","hh_size","Total","Under15","`15-18`","`18-65`","Above65","Above18","se.Counter","se.Under15","se.`15-18`","se.`18-65`","se.Above65","se.Above18"
"WA",1,712540,0,150,484530,227860,712390,2496.34546869637,0,38.7294593353144,2096.92220028463,1481.00538176502,2496.12509942663
"WA",2,1805740,88580,36320,1476540,544680,1805600,3605.32451933524,934.269896335942,600.921896812456,3373.55136991089,2225.80035923852,3605.2527212558
"WA",3,1212780,577590,174240,1204980,143760,1212750,3142.91232495,2293.7439300666,1301.81437387871,3134.98444459668,1185.40822202989,3142.88294513931
"WA",4,1355320,1020560,311440,1353960,79600,1355320,3271.6404917014,2929.37832500779,1719.83759232756,3270.3727316929,886.43709415057,3271.6404917014
"WA",5,761700,652300,221600,761300,65950,761700,2588.50535262146,2417.76120784414,1461.32708411843,2587.90914749845,807.658613621472,2588.50535262146
"WA",6,385320,346920,134880,384720,47580,385320,1899.54663814309,1807.52377241906,1147.88915673548,1898.14350939484,686.85262388784,1899.54663814309
"WA",7,167790,155890,68880,167650,26180,167790,1275.53969710983,1230.51153236172,824.451152271576,1275.00887613356,510.317884961524,1275.53969710983
"WA",8,86480,81680,37040,86400,13680,86480,922.166641586279,896.586316212744,606.237686286714,921.745174406308,369.288643118948,922.166641586279
"WA",9,45720,42840,22860,45720,7650,45720,672.676459237849,651.191371721828,476.835865676639,672.676459237849,276.272696362804,672.676459237849
"WA",10,24000,23000,12900,24000,4100,24000,488.351387316738,478.109558247386,358.547818821713,488.351387316738,202.285122582719,488.351387316738
"WA",11,14190,13750,8910,14190,2970,14190,375.979642333591,370.115593706399,298.109016995254,375.979642333591,172.233697146855,375.979642333591
"WA",12,12000,11160,7320,11880,2400,12000,345.832284810898,333.552673889517,270.251187752311,344.113667399045,154.80447396392,345.832284810898
"WA",13,2860,2600,1690,2860,260,2860,168.983286110725,161.125740299564,129.921840989838,168.983286110725,50.963090458658,168.983286110725
"WA",14,1120,980,840,1120,420,1120,105.752764784437,98.9197157520385,91.5791262508631,105.752764784437,64.7721419849142,105.752764784437
"WA",15,1200,1200,900,1200,450,1200,109.446941607543,109.446941607543,94.7938144741299,109.446941607543,67.0093371435752,109.446941607543
"WA",16,480,480,320,480,160,480,69.2453741459284,69.2453741459284,56.5409070603309,69.2453741459284,39.9755884184914,69.2453741459284
"WA",17,510,340,170,510,340,510,71.36465528118,58.2711734867304,41.2067293531041,71.36465528118,58.2711734867304,71.36465528118
"WA",19,190,190,190,190,0,190,43.5570652007413,43.5570652007413,43.5570652007413,43.5570652007413,0,43.5570652007413
"WA",25,250,250,250,250,0,250,49.9424901563925,49.9424901563925,49.9424901563925,49.9424901563925,0,49.9424901563925
"0",1,145660,0,50,86150,59460,145610,1141.17246500651,0,22.3604630691959,898.808153094515,753.832941774505,1141.00279133975
"11",1,36850,0,20,24090,12740,36830,576.562728206836,0,14.1414536642042,474.378080867698,351.111485899804,576.435321736607
"33",1,245120,0,40,183250,61830,245080,1432.7220502326,0,19.9999999999998,1261.88660560633,772.482441437672,1432.63473934678
"35",1,23940,0,0,15310,8630,23940,464.340457534305,0,0,378.51694916536,288.503169550466,464.340457534305
"53",1,74990,0,10,51330,23650,74980,819.575298706842,0,10.0000000000006,690.037312011873,478.29756448313,819.528273443667
"61",1,65650,0,10,45920,19720,65640,769.325869897447,0,10.0000000000019,653.775359697706,437.221815817418,769.276947420176
"63",1,54100,0,10,35840,18250,54090,687.060179157377,0,9.99999999999858,572.468341162179,418.001656493052,686.997513988218
"67",1,26520,0,0,17610,8910,26520,485.248246429153,0,0,403.764925410004,292.798906281659,485.248246429153
"73",1,22210,0,10,14700,7500,22200,443.885766541414,0,10.0000000000025,368.811966021025,268.596860174832,443.798541047538
"77",1,17500,0,0,10330,7170,17500,400.772881293632,0,0,313.396031140277,263.321146032723,400.772881293632
